>26712_26713 both
chl19603 4566477 4566539
chlCW2 4291877 4291939
chlC50 4191850 4191912
chlP2 4659049 4659111
chlJD37 2614015 2614077
chl6698 4419251 4419313
chl2210 4277933 4277995
chlChPhzS23 4224354 4224416
chlPA23 4244551 4244613
chlChPhzTR36 4308163 4308225
chlO6 4355470 4355532
>28423_28424 both
chlM12 6163408 6163471
chlTAMOak81 6117013 6117076
chlChPhzTR39 6498032 6498095
chlChPhzTR38 6399582 6399645
chl189 3517641 3517704
chl66 6236293 6236356
chl17415 6065748 6065811
chlQ16 6346137 6346200
chlPb-St2 6057497 6057560
chlB25 6407576 6407639
chl19603 6548321 6548384
chlCW2 6365838 6365901
chlC50 6181542 6181605
chlP2 6642820 6642883
chlChPhzS24 6333875 6333938
chl6698 6484640 6484703
chl2210 6285587 6285650
chlChPhzS23 6192623 6192686
chlLzh-T5 6259786 6259849
chlPA23 7011288 7011351
chlStFRB508 6227300 6227363
chlChPhzTR36 6374766 6374829
chlO6 6303150 6303213
chlChPhzTR18 6284941 6285004
>29557_29558 both
chlM12 6295558 6295619
chlTAMOak81 6247954 6248016
chlChPhzS140 6640477 6640559
chlDTR133 6630961 6631043
chlPCL1607 6471447 6471529
chlChPhzTR39 6628893 6628975
chlChPhzTR38 6530450 6530532
chl189 3379684 3379766
chl66 6367828 6367910
chl449 6536961 6537022
chl17415 6197243 6197325
chlPb-St2 6191778 6191860
chlM71 6376308 6376423
chl464 6539345 6539406
chlChPhzS135 6506384 6506466
chlC50 6312084 6312166
chlP2 6773416 6773498
chlChPhzS24 6464743 6464825
chl6698 6615279 6615361
chlChPhzTR44 6444633 6444715
chlToZa7 6573591 6573673
chlSLPH10 6794019 6794101
chlChPhzS23 6323404 6323486
chlPCL1391 6407783 6407865
chlLzh-T5 6391252 6391334
chlPA23 6877374 6877456
chlChPhzTR36 6505514 6505596
chlO6 6434048 6434130
chlChPhzTR18 6417239 6417321
chlK27 6437504 6437619
>24670_24671 both
chlM12 6575434 6575487
chl449 6818304 6818357
chl464 6820688 6820741
chl19603 6966213 6966266
chlCW2 6781543 6781596
chl2210 6710620 6710673
chlStFRB508 6662139 6662192
>29153_29154 both
chlM12 5984003 5984067
chlChPhzS140 6336943 6337005
chlDTR133 6294368 6294430
chlPCL1607 6134971 6135033
chlChPhzTR39 6318340 6318402
chlChPhzTR38 6219867 6219929
chl66 6056613 6056675
chl449 6225171 6225235
chlZJU60 6089666 6089728
chlQ16 6152365 6152429
chlPb-St2 5878202 5878266
chlM71 6065296 6065360
chl464 6227555 6227619
chlChPhzS135 6202853 6202915
chl17411 6463868 6463930
chl19603 6355979 6356043
chl17809 6470350 6470412
chlCW2 6186331 6186395
chlC50 6000474 6000536
chlP2 6463094 6463156
chlJD37 813553 813617
chlChPhzS24 6154161 6154223
chl6698 6269185 6269247
chlChPhzTR44 6141195 6141257
chl2210 6093252 6093316
chlToZa7 6270065 6270127
chlSLPH10 6490459 6490521
chlChPhzS23 6013119 6013183
chlPCL1391 6104268 6104330
chlLzh-T5 6080081 6080143
chlPA23 6267978 6268040
chlStFRB508 6014462 6014526
chlChPhzTR36 6194985 6195047
chl21509 6283039 6283103
chlO6 6129013 6129075
chlChPhzTR18 6105225 6105287
chlK27 6126595 6126659
>27573_27574 both
chlM12 1488437 1488512
chlTAMOak81 1517520 1517596
chlTAMOak81 1517626 1517701
chlDTR133 1544198 1544273
chl189 1458985 1459125
chl66 1516324 1516399
chl66 1516544 1516619
chl449 1511675 1511750
chl17415 1495895 1496035
chlZJU60 1478678 1478753
chlQ16 1495754 1495829
chlPb-St2 1453280 1453355
chlM71 1557242 1557317
chl464 1513609 1513684
chlChPhzS135 1510462 1510537
chlB25 1546164 1546304
chlCW2 1499468 1499543
chlC50 1489066 1489141
chlC50 1489286 1489361
chlP2 1496245 1496320
chlP2 1496350 1496425
chlJD37 5144324 5144399
chl6698 1515447 1515522
chl6698 1515552 1515627
chlChPhzTR44 1503686 1503761
chl2210 1507678 1507753
chlSLPH10 1507259 1507334
chlChPhzS23 1493385 1493460
chlChPhzS23 1493605 1493680
chlLzh-T5 1484635 1484710
chlPA23 1388713 1388788
chlPA23 1388933 1389008
chlStFRB508 1317442 1317517
chlChPhzTR36 1542756 1542831
chlChPhzTR36 1542976 1543051
chl21509 1518465 1518540
chlO6 1549719 1549794
chlO6 1549939 1550014
>27577_27578 both
chlM12 4223156 4223231
chlChPhzS140 4521071 4521146
chlDTR133 4416511 4416586
chlDTR133 4416385 4416460
chlPCL1607 4382034 4382109
chl66 4301923 4301998
chl449 4398254 4398329
chlZJU60 4223490 4223565
chlQ16 4301756 4301831
chlM71 4267258 4267333
chl464 4400189 4400264
chlChPhzS135 4410166 4410241
chlChPhzS135 4410040 4410115
chlB25 4341601 4341676
chl17411 4498326 4498401
chl17809 4498325 4498400
chlCW2 4330328 4330403
chlC50 4227553 4227628
chlP2 4694742 4694817
chlJD37 2578245 2578320
chl6698 4454969 4455044
chlChPhzTR44 4352211 4352286
chlChPhzTR44 4352085 4352160
chl2210 4316380 4316455
chlToZa7 4380892 4380967
chlSLPH10 4371335 4371410
chlSLPH10 4371209 4371284
chlChPhzS23 4260157 4260232
chlPCL1391 4309314 4309389
chlLzh-T5 4295196 4295271
chlPA23 4280352 4280427
chlStFRB508 4247495 4247570
chlChPhzTR36 4343856 4343931
chl21509 4474970 4475045
chl21509 4475096 4475171
chlO6 4391189 4391264
>29129_29130 both
chlM12 1606311 1606374
chlChPhzTR39 1642042 1642105
chlChPhzTR38 1643741 1643804
chl66 1637492 1637555
chlC50 1604574 1604637
chlP2 1639369 1639432
chlChPhzS24 1634994 1635057
chl6698 1640877 1640940
chlChPhzS23 1615870 1615933
chlLzh-T5 1613722 1613785
chlPA23 1543807 1543870
chlChPhzTR36 1661965 1662028
chl50083 1653685 1653748
chlO6 1717382 1717445
chlChPhzTR18 1624239 1624302
chlK27 1657632 1657695
>29706_29553 both
chlM12 2077689 2077771
chlTAMOak81 2096960 2097042
chlChPhzS140 2086136 2086218
chlDTR133 2129913 2129995
chlPCL1607 2132158 2132240
chlChPhzTR39 2182756 2182838
chlChPhzTR38 2182032 2182114
chl449 2180500 2180582
chlZJU60 2066002 2066084
chlPb-St2 2025404 2025486
chlM71 2136968 2137050
chl464 2182434 2182516
chlChPhzS135 2096167 2096249
chl17411 2136145 2136227
chl17809 2136158 2136240
chlChPhzS24 2125866 2125948
chlChPhzTR44 2120353 2120435
chl2210 2104266 2104348
chlToZa7 2094388 2094470
chlSLPH10 2133653 2133735
chlPCL1391 2073128 2073210
chlPA23 2027095 2027177
chlChPhzTR36 2191327 2191409
chl21509 2106474 2106556
chlO6 2207030 2207112
chlChPhzTR18 2115096 2115178
chlK27 2123979 2124061
>29133_29134 both
chlM12 3640001 3640093
chlTAMOak81 3691017 3691111
chlChPhzS140 3741261 3741355
chlDTR133 3753422 3753516
chlPCL1607 3707464 3707558
chlChPhzTR39 3839775 3839867
chlChPhzTR38 3804686 3804778
chl189 6649998 6650092
chl66 3747062 3747156
chl449 3819369 3819461
chl17415 3590546 3590640
chlZJU60 3585393 3585487
chlQ16 3767605 3767697
chlPb-St2 3629233 3629325
chlM71 3680035 3680127
chl464 3821304 3821396
chlChPhzS135 3786159 3786253
chlB25 3740733 3740827
chl17411 3735054 3735148
chl19603 3720081 3720173
chl17809 3735045 3735139
chlCW2 3769422 3769514
chlC50 3684172 3684266
chlP2 3825247 3825341
chlJD37 3088129 3088221
chlChPhzS24 3722108 3722200
chl6698 3803724 3803818
chlChPhzTR44 3729856 3729950
chl2210 3709103 3709195
chlToZa7 3737716 3737810
chlSLPH10 3744325 3744419
chlChPhzS23 3720445 3720539
chlPCL1391 3653113 3653207
chlLzh-T5 3698523 3698617
chlPA23 3676647 3676741
chlStFRB508 3626907 3626999
chlChPhzTR36 3807364 3807458
chl21509 3718124 3718218
chl50083 3827497 3827591
chlO6 3799182 3799274
chlChPhzTR18 3737457 3737549
chlK27 3765838 3765930
>29135_29655 both
chlM12 4375330 4375391
chlTAMOak81 4310742 4310833
chlChPhzS140 4678516 4678579
chlDTR133 4573843 4573906
chlPCL1607 4539512 4539575
chlChPhzTR39 4560366 4560427
chlChPhzTR38 4509073 4509134
chl66 4454307 4454368
chl17415 4282283 4282374
chlZJU60 4380770 4380833
chlQ16 4454758 4454819
chlPb-St2 4304663 4304726
chlChPhzS135 4567484 4567547
chl17411 4658453 4658516
chl17809 4658453 4658516
chlCW2 4482450 4482511
chlC50 4379824 4379885
chlP2 4846985 4847046
chlJD37 2420291 2420354
chlChPhzS24 4447767 4447828
chl6698 4607282 4607343
chlChPhzTR44 4509546 4509609
chlToZa7 4538337 4538400
chlSLPH10 4705704 4705767
chlChPhzS23 4412461 4412522
chlPCL1391 4466764 4466827
chlLzh-T5 4447510 4447571
chlPA23 4432696 4432757
chlChPhzTR36 4498182 4498243
chl21509 4631782 4631843
chlO6 4543500 4543561
chlChPhzTR18 4461365 4461426
chlK27 4481244 4481305
>29199_29200 both
chlM12 478170 478237
chlChPhzS140 477657 477724
chlDTR133 476045 476112
chlPCL1607 474311 474378
chl449 484152 484219
chlQ16 483291 483358
chlM71 535051 535118
chl464 484152 484219
chlChPhzS135 478475 478542
chl17411 470715 470782
chl17809 470721 470788
chlC50 478122 478189
chlP2 492395 492462
chl6698 473799 473866
chlChPhzTR44 474715 474782
chlToZa7 486927 486994
chlSLPH10 479190 479257
chlPCL1391 473854 473921
chlLzh-T5 460159 460226
chl21509 483671 483738
chlK27 521694 521761
>29255_29256 both
chlM12 6331992 6332054
chlChPhzTR39 6665194 6665256
chlChPhzTR38 6566763 6566825
chl66 6404367 6404429
chlM71 6412941 6413003
chlC50 6348832 6348894
chlP2 6809973 6810035
chlChPhzS24 6501065 6501127
chl6698 6651662 6651724
chlChPhzS23 6359958 6360020
chlLzh-T5 6427809 6427871
chlPA23 6841120 6841182
chlChPhzTR36 6541911 6541973
chlO6 6470585 6470647
chlChPhzTR18 6453552 6453614
chlK27 6474118 6474180
>29143_29144 both
chlM12 3518561 3518657
chlTAMOak81 3564202 3564298
chlChPhzS140 3607652 3607748
chlDTR133 3600020 3600116
chlPCL1607 3573856 3573952
chlChPhzTR39 3727549 3727645
chlChPhzTR38 3692449 3692545
chl189 6519641 6519737
chl66 3629803 3629899
chl449 3698240 3698336
chl17415 3448387 3448483
chlZJU60 3451870 3451967
chlQ16 3650330 3650426
chlM71 3562249 3562345
chl464 3700175 3700271
chlChPhzS135 3627505 3627601
chl17411 3585642 3585739
chl19603 3589823 3589919
chl17809 3585632 3585729
chlCW2 3638897 3638993
chlC50 3572103 3572199
chlP2 3708143 3708239
chlJD37 3207240 3207336
chlChPhzS24 3596409 3596505
chl6698 3691630 3691726
chlChPhzTR44 3586756 3586852
chl2210 3588034 3588130
chlToZa7 3601935 3602031
chlSLPH10 3599510 3599606
chlChPhzS23 3602879 3602975
chlPCL1391 3519505 3519601
chlLzh-T5 3575575 3575671
chlPA23 3540505 3540601
chlStFRB508 3492108 3492204
chlChPhzTR36 3695599 3695695
chl21509 3568498 3568594
chl50083 3685135 3685231
chlO6 3687141 3687237
chlChPhzTR18 3625354 3625450
chlK27 3648011 3648107
>29619_29620 both
chlM12 1429663 1429747
chlM12 1429536 1429635
chlTAMOak81 1458444 1458528
chlChPhzS140 1449656 1449740
chlDTR133 1485307 1485391
chlPCL1607 1487481 1487565
chlChPhzTR39 1454465 1454564
chlChPhzTR38 1458571 1458670
chl189 1519052 1519153
chl66 1457288 1457372
chl449 1452908 1453007
chl17415 1437125 1437224
chlZJU60 1419791 1419875
chlQ16 1436975 1437074
chlPb-St2 1394697 1394781
chlM71 1498382 1498466
chlM71 1498255 1498354
chl464 1454842 1454941
chlChPhzS135 1451571 1451655
chlB25 1484971 1485070
chl17411 1443870 1443954
chl19603 1443802 1443901
chl17809 1443880 1443964
chlCW2 1440798 1440882
chlCW2 1440671 1440770
chlC50 1430027 1430111
chlC50 1429900 1429999
chlP2 1436004 1436088
chlP2 1435877 1435976
chlJD37 5204515 5204614
chlChPhzS24 1449921 1450020
chl6698 1455097 1455181
chl6698 1454970 1455069
chlChPhzTR44 1444795 1444879
chl2210 1449037 1449121
chlToZa7 1449521 1449605
chlSLPH10 1448368 1448452
chlChPhzS23 1434353 1434437
chlPCL1391 1428482 1428566
chlLzh-T5 1425609 1425693
chlLzh-T5 1425482 1425581
chlPA23 1329554 1329653
chlStFRB508 1258789 1258873
chlStFRB508 1258662 1258761
chlChPhzTR36 1482406 1482490
chlChPhzTR36 1482279 1482378
chl21509 1459556 1459640
chl50083 1440650 1440749
chlO6 1489249 1489333
chlO6 1489122 1489221
chlChPhzTR18 1437572 1437671
chlK27 1481952 1482036
chlK27 1481819 1481918
>29690_29046 both
chlM12 4077702 4077768
chlTAMOak81 4008429 4008494
chlChPhzTR39 4217380 4217446
chlChPhzTR38 4182228 4182294
chl189 165712 165775
chl66 4132008 4132074
chl17415 3963760 3963823
chlQ16 4149601 4149667
chlPb-St2 4007416 4007479
chlM71 4124004 4124067
chlB25 4146029 4146092
chl17411 4295832 4295897
chl17809 4295831 4295896
chlC50 4067989 4068055
chlP2 4520053 4520119
chlChPhzS24 4118095 4118161
chl6698 4282695 4282761
chlChPhzS23 4088561 4088627
chlLzh-T5 4110023 4110089
chlPA23 4097709 4097775
chlChPhzTR36 4171146 4171212
chl21509 4277969 4278032
chl50083 4181464 4181527
chlO6 4219207 4219273
chlChPhzTR18 4134540 4134606
chlK27 4184867 4184930
>29257_29258 both
chlM12 4559795 4559879
chlM71 4656158 4656242
chl19603 4958129 4958213
chlCW2 4756988 4757072
chl2210 4690093 4690177
chlStFRB508 4605077 4605161
chlK27 4712084 4712168
>29259_29260 both
chlM12 5095523 5095598
chlChPhzS140 5402684 5402759
chlDTR133 5344980 5345055
chlPCL1607 5301218 5301293
chlZJU60 5218664 5218739
chlM71 5183820 5183895
chlChPhzS135 5320444 5320519
chl17411 5410896 5410971
chl19603 5459719 5459794
chl17809 5410901 5410976
chlCW2 5273441 5273516
chlChPhzTR44 5290721 5290796
chl2210 5193748 5193823
chlToZa7 5263502 5263577
chlSLPH10 5512321 5512396
chlPCL1391 5243640 5243715
chlStFRB508 5135527 5135602
chl21509 5443403 5443478
chlK27 5244879 5244954
>29169_29170 both
chlM12 2048429 2048496
chlTAMOak81 2067791 2067846
chlChPhzTR39 2105948 2106015
chlChPhzTR38 2106663 2106730
chl66 2128550 2128617
chl449 2105403 2105470
chlZJU60 2036818 2036885
chlQ16 2074522 2074589
chlPb-St2 1996342 1996409
chlM71 2107806 2107873
chl464 2107337 2107404
chlB25 2294548 2294615
chl17411 2107117 2107184
chl19603 2065794 2065861
chl17809 2107130 2107197
chlCW2 2063132 2063199
chlC50 2062463 2062530
chlP2 2134397 2134464
chlJD37 4563238 4563305
chlChPhzS24 2096590 2096657
chl6698 2109251 2109318
chl2210 2075006 2075073
chlChPhzS23 2075091 2075158
chlLzh-T5 2074040 2074107
chlPA23 1997818 1997885
chlStFRB508 1881446 1881513
chlChPhzTR36 2114501 2114568
chl21509 2077302 2077369
chl50083 2106380 2106446
chlO6 2177758 2177825
chlChPhzTR18 2085820 2085887
chlK27 2094833 2094900
>28583_24635 both
chlM12 4307730 4307814
chl449 4482722 4482806
chlQ16 4386933 4387018
chl464 4484657 4484741
chl19603 4690049 4690133
chlP2 4779309 4779393
chlJD37 2489191 2489275
chl2210 4401497 4401581
chlStFRB508 4332760 4332844
>29155_29156 both
chlM12 6239656 6239718
chlChPhzS140 6587323 6587385
chlDTR133 6577816 6577878
chlPCL1607 6418305 6418367
chlChPhzTR39 6574008 6574070
chlChPhzTR38 6475561 6475623
chl189 3436341 3436437
chl66 6312937 6312999
chl449 6481082 6481144
chl17415 6141849 6141945
chlZJU60 6340986 6341048
chlQ16 6422329 6422391
chlPb-St2 6137580 6137642
chlM71 6320258 6320320
chl464 6483466 6483528
chlChPhzS135 6453224 6453286
chlB25 6483308 6483404
chl17411 6727564 6727626
chl19603 6626877 6626939
chl17809 6734047 6734109
chlCW2 6441961 6442023
chlC50 6257373 6257435
chlP2 6718612 6718674
chlJD37 527820 527882
chlChPhzS24 6409854 6409916
chl6698 6560488 6560550
chlChPhzTR44 6391479 6391541
chl2210 6363237 6363299
chlToZa7 6520437 6520499
chlSLPH10 6740841 6740903
chlChPhzS23 6268513 6268575
chlPCL1391 6354647 6354709
chlLzh-T5 6336445 6336507
chlPA23 6932372 6932434
chlStFRB508 6302822 6302884
chlChPhzTR36 6450720 6450782
chl21509 6538287 6538348
chlO6 6379089 6379151
chlChPhzTR18 6360920 6360982
chlK27 6381587 6381649
>29624_29232 both
chlM12 1495990 1496058
chlM12 1495877 1495948
chlChPhzS140 1515995 1516066
chlChPhzS140 1516108 1516176
chlDTR133 1551597 1551681
chlPCL1607 1553772 1553856
chlChPhzTR39 1521562 1521646
chlChPhzTR38 1525630 1525714
chl66 1523917 1524001
chl66 1524250 1524334
chl449 1519236 1519304
chl449 1519123 1519194
chlQ16 1503192 1503263
chlM71 1564807 1564875
chlM71 1564694 1564765
chl464 1521170 1521238
chl464 1521057 1521128
chlChPhzS135 1517861 1517945
chlC50 1496716 1496787
chlC50 1496829 1496897
chlC50 1496986 1497070
chlP2 1503739 1503823
chlP2 1503852 1503936
chlP2 1504072 1504156
chlChPhzS24 1516914 1516998
chlChPhzS24 1517024 1517108
chl6698 1523008 1523079
chl6698 1523121 1523189
chl6698 1523278 1523362
chlChPhzTR44 1511085 1511169
chl2210 1515130 1515201
chlToZa7 1515858 1515928
chlToZa7 1516083 1516154
chlToZa7 1515970 1516041
chlSLPH10 1514658 1514742
chlChPhzS23 1500977 1501061
chlChPhzS23 1501310 1501394
chlPCL1391 1494774 1494858
chlLzh-T5 1492089 1492160
chlLzh-T5 1492249 1492333
chlPA23 1396436 1396520
chlStFRB508 1324874 1324945
chlChPhzTR36 1550700 1550784
chlO6 1557393 1557464
chlO6 1557553 1557637
